,label,text
179,0, hny k time pe kamaya tha maine..is baar payment nahi de rahe haixexxa
181,1, ache se dekh le bahenchod 
183,1,madarchod log nnbahenchod lognnrat ko motorbike me se petrol nchurane wale log
185,1, bahenchod..n why getting lots of ad in your wynk music app. pure mood ki maa behen kr dete h ...
187,1, they dont know there is a word called bahenchod
189,1, xfxfxxcxfxfxxcxfxfxxcxfxfxxcxfxfxxc acha reply diya ladkiya khe rahi bahenchod jab itna normal hai to maal khe diya to kya galat maal hxexxa 
191,1, bahenchod. aaukad mein rah.
193,1, friend bhai me apne bete ka kya naam rakhu jo sabki zubaan pe rahe nnme bahenchod rakh de
195,1, u idiot what d fuck ur fucking human rights watch z watching in baluchistan? u motherfuckers shd close urxexxa 
197,1,anushka baby tum mujhe shadi bad kis nam se bulao gey?nnvirat bahenchodnnvirushkawedding
199,1, bahenchod .... experienced lagte ho bhai bhotxfxfxxxfxfxxxfxfxxxfxfxxxfxfxx
201,1, bahenchod sale bra nahi mangege tere bahen ki chuchi masal kxexxa 
203,1,or koi gaali bhi nahi dega bahenchodxfxfxx 
205,1, yeh dekho bahenchod ko fake id chala raha hai
207,0, chalo acha h tumhare dost tumhare birthday ka countdown kar rahe h.nbut iska mtlb yeh thodi h ki uska ss le k tum story daxexxa
209,1, pata nahi aise sanghi kutte ko bhaxexxa 
211,1, anushka baby tum mujhe shadi bad kis nam se bulao gey?nnvirat bahenchodnnvirushkawedding
213,1, bahenchod sale bra nahi mangege tere bahen ki chuchi masal kar sali ko ghutno par bithuga n kutiya baxexxa 
215,1, are bhai apne bahen ka nhi banaya kya uska bhi bana ke dalna tha na bahenchod naale me paida hua kya
217,1,friend bhai me apne bete ka kya naam rakhu jo sabki zubaan pe rahe nnme bahenchod rakh de
219,1, abe bahenchod kuch to sharam kar san be dekha hai nnfixedwinnershilpa
221,1, friend bhai me apne bete ka kya naam rakhu jo sabki zubaan pe rahe nnme bahenchod rakh de
223,1,bahenchod this is the saddest thing girl ready to do anything to help a guy sleep xfxfxxaxfxfxxa 
225,1, bahenchod saal tk apni maa chudwa rahe the tum log
227,1, maadarchod tu dusaro ko chhod tujhe gandhi family ka aishoaaram mil raha hai. bahenchod dusaro ki fikxexxa 
229,1, bahenchod laal chaddi goons
231,0,badir just announced their funding statistics for their emerging startups in saudi arabian news tech
233,1, saala bhadva chandi ke mukut dene waley ki shaadi me hi jata haiisliye log ko pataxexxa 
235,1, bhadve ne teri bhadva giri sabko bata di shame
237,1, neem ka pta kadva hai karan patel bhadva haixfxfxxxfxfxxxfxfxxxfxfxx abbe chaman chutie apni izzat kyu utarvane pr tulla haixfxfxxxfxfxx
239,1, bhadva jnta party nbjp nhi nsale kutto
243,1, aese bhadva logo ko mind me nahi leneka ae pakistan jake sarkar girane ko bolta tha ae dalal he
245,1, aamir khan the great bhadva immediately started speaking when jihadi zaira got touched. but he never speaks for hindus.
247,1, tu up bihar ka bhadva hoga jise gujarati me kadva kehete he ab to saxexxa 
249,1, pakistan bhadva hai
251,1, bhadvas started to bark. aap the great bhadva party.
253,1, haa tu rahul ka ghu khata hai npata hai sab ko ngandi nali ka kida bhadva
255,1, kickout arshi chhinal and vikas bhadva
257,1, large number mein ayengey to bjp ko vote karengey aur is se ki gaand nahixexxa 
259,1, hindi nai aati to ma chvane aaya he politics me... sala bhadva .. samjate pappu tere perie ko
261,1, aur chatne wale ko kutta chatukar...nbhakt hai to sahi kam se kam dalal bhadva kuttaxexxa 
263,1, aur wo bhadva hai lalu prasad thappad maar ke theek karo
265,0, that fellow tiwari must be getting paof the loot fromxexxa 
267,1, to for sal tak kya kiya? jo ab bevakuf banane nikala hai murkh bhadva
269,1, abe bhadva kanhiya kutte gaddar sale pakistani kutta dalla
271,1, a re mania tuh nich hai modisahab ko laker teri gaand main jalan ho rahi haixexxa 
273,1, kapil sibbal ko border pe ulta latka k itne chhed kare ki uski randimaa b pehchan na sakxexxa 
275,1, sorry agar me kuch gali likh du to kyuki mera hindi thoda poor he..bhadva chutiya gujarati o ko gali deta he
277,1, bhadva.. havaskhor dec k baad tu gujrat me dikh nhi payega dekh lena kahi muh chupa k pada hoga bhadva harpik havsakhor
279,1, bhadva m s aiyar
281,1, bhadva madarchod bhakt ....
283,1,sorry chakkichods i forgot to add bhadva owaisi. count him too. p
287,1, aano pan javab aapi de bhadva pavaya
289,1,abe tu dallal hai sale ........bhadva hai tu congress ka gandu manishankar..
291,1, congress ka bhadva he tu... madrchod
293,1, neem ka pta kadva hai karan patel bhadva haixfxfxxxfxfxxxfxfxxxfxfxx abbe chaman chutie apni izzat kyu utarvane pr tulla haixfxfxxxfxfxx
295,1, randi chodne wala bhadva aagaya
297,1, aur yeh nikla paki bhadva hindu naam istamal karte katvexexxa 
299,1, bhadva vo khali tu hay. tihar ki tyari kar. baki sara india safe life me ek hi kam achha kixexxa 
301,1, anurag bhadva rahul tera baap hai
303,1, ye bhadva miljaye uski..maa chod du
305,1,pmsupariattacknsach kadva hai manishanker aiyyer pakistan ka bhadva hainsorry i dont know hindi or any other language
309,1, jhatu hai saala bhadva
311,1, tu bhadva he bilkul tujme dimaag nhi
313,0, alfaz hai mera kadvaxexxa
315,0, he does not have guts in his balls. he is loud mouth. creater of stories fake cds and what not. hexexxa 
317,1,michael oliver mkc teri bhen ke lode gandu sala chutmarika bhadva
319,1, yes muslimo ki gand hindu jab marenge to ye harami owaisi hi uske liye jimmdar hoga...ya bxexxa 
321,0, it is the mindset issue. congress wants to induct aap leader sangeeta chandpa recently. shxexxa 
323,1, this bhadva jantha party is appreciating a person who brutally killed a poor citizen. nn
325,1, abe ye tere ko bhadva bol raha hai mar sale ko xfxfxxbxfxfxxbxfxfxxbxfxfxxbxfxfxxbxfxfxaxaxfxfxaxa 
327,1, ye bhadva ladkiyo ko dhamkata h gake ss bnata h jo isse pat nhi rhi h
329,1,manishankaraiyar sala bhadva gujarati o ko gali deta he chutiya
331,1, aur ka ek aur bhosdika bhadva apna suar gaand mukh se bola.
333,1, loda madarchod pikina bhadva
335,0, if it shows rahulbaba visiting temples to temples kumar ketkar has no problem. but is tv show what pxexxa 
337,1, he is such a bhadva
339,1, q ki ye bhadva h
341,0, that fellow tiwari must be getting paof the loot from thexexxa
343,1, modi ko gali dene walo aab jake pata chala ki hardik aek bhadva he woxexxa 
347,0, alfaz hai merxexxa 
349,1, sala bhadva chutiya gujarati o ko gali deta he... sorry yar mera hindi thoda poor he
351,1, kanoon ka badnaam bhadva kal bakchodi raha tha wo sunni board ka wakeel nahin?nrepxexxa 
353,1, kaye ko gaali de usko chodthe allah ke upar. ye musalmanoxexxa 
357,1, manishankaraiyar sala bhadva gujarati o ko gali deta he chutiya
359,1, kya dallo ab ye bhadva desh ka sanman kar raha he??????
361,1, khujli bhikhari tatte jhantu ka reporter liar aur jhantu aadmi party news rndtv ko chhodkr kabhixexxa 
363,1, sorry agar me kuch gali likh du to...mera hindi thoda poor he...bhadva .. chutiya ki aulad gujarati o ko gali deta he
365,0, koi nhi parwahxexxa 
367,1, bhadva jnta party nbjp nhi nsale kutto
369,1, vo sub congress ke bhadve hay. to zakir ka bhadva hay dhede bhegiye t...saf karte hay chunav nahi ladke.
371,1, apna dekh na dogle nsher ke ghar bhadva paida hua hai nhindutva wali party modi virodhxexxa 
373,1, sarkar ke rs. study karne vala aj congress ke kuch feke huve tukde pe mujra karne vala bhadva he.... kanaya
375,0, neem ka pataxexxa 
377,1, you are the ugliest hole one can have. chutye marja tere bap ne guma kiya tuje peda karke. bhadva kahin kaxfxfxxxfxfxx
379,1, modi n that up wala bhadva mp whats his name that maha chuxexxa 
381,1, bhadva h ye
383,1,neem ka patta kadva hainmourinho saala bhadva hai.nsatan lost we celebrate.
385,1, or vo bhadva kejriwal pig ki tatti khane wala? or aaprtars uski kkame wale...
387,1, tu bhotnikentera baap bhootnika nteri maa bhootnikentera pura khandan bhootnika
389,1, hahaha bhag gaya bhootnika.
391,1, muh khol chinaal 
393,1, muh khol chinaal 
395,1, i hate her like anything xfxfxx she is the bighest chinaal of all timexfxfxx
399,1, ooohhh yes meri randi kuttiyaaa salliii hraaaamkhorrrr chinaal
403,1, saali chinaal chut maari ki randiii kutti le mera lund zoro me randiiiii 
405,0, kissi nhi chahiye teri chinaalnchut chahiye
409,1, mulle ke kale lund ki diwani hui mummymulle ne maa ko chod chod ke chinaal bna diya 
411,1, mai kehe raha hu agar gaand me dum hai to unke beech me bolega....tera joota mera sir.....teri maa chodke haxexxa 
415,1, bhai kya main is randi zara khan randi ko aur naxexxa 
417,1, randi h sali chinaal
419,1, chinaal chodi k pane mat kar bkl
423,1, randi k pille teri maa behen ko kothe pe bech k aaya hu abxexxa 
425,1, sant rampalji maharaj ke anmool vachan dekiye shadna chinaal par . se
427,1,ayesha fatima rss ke office ki chinaal 
429,1,oohhh really meri kuttiyaa sali hraamzaddi randi kamini chinaal 
431,1, is chinaal ko italy bhejo pehle
433,1, apni is chinaal behan ko lund pr latka kr iski gaand chodugaa nuchaal uchaal kr
435,1, randi woh nahi teri maa hai.... mast chudwaa gayi thi us raat ko mere se tab jaake tu paida huva merxexxa 
439,1, meri randi patni sara ko chinaal bana ker chod rahen ussi ke bhai dost. imr pheche se chodraxexxa
441,1, dekiye sant rampalji maharaj ke anmool vachan shadna chinaal par .se
443,1, logo ne teri maa ki chut ka seal toda tha tabxexxa 
445,1, chinaal merchant apply burnol
447,1, meri randi patni sara mere office ke ek black colleague ka lund chusne ke baad chinaal kixexxa 
449,1, fake account chinaal..
451,1, aaja randi k ladke papa se fadda karega block mat karna terxexxa 
453,1,meri randi patni sara jesse bhi chudati hai uski essa feeling deti hai jesse ke wo uski rakhel ho. apni cousin kexexxa 
455,1, bandar ka gaand bhi tere se accha dikhta hai madarchod redxexxa 
457,1, vo teri gaand chategi or tu raand...haan chinaal tu saali bhen ki lodi mera laxexxa 
459,1, sikh lungi chinaal maa to khud rand h
463,1, chadhugaa hi raand meri betichod ki aulaad saali aahhhnmast chut h chinaal teri 
465,1, randi.nn chinaal nisse bhi koi gandi gaali hai iss aurat ke liye..?
467,1, ab teri ma chinaal hai to usko wahich bolenge baap bhadwa hai to usko bhi wahich bolenge to mm to nupxexxa 
471,1, meri randi patni sara ko chinaal bana ker chod rahen ussi ke bhai dost. imr pheche se choxexxa 
473,1, abey randi k pille teri maa ki chut mein kutte ka lawra daaxexxa 
475,1, bhosode k airtel behnchodg ki offer dikhata haikhud k gaand k g v nhi haichutiya ulimited tatti xexxa 
477,1, tera maa ka bhosda naa ban jaaye dhyaan rakhiyo chinaal ke
479,1, bohsdi ke apni chinaal ma aur bhadwe baap ko bhi ladwa deta beech mein... kis gutter ka critic hai tu mayeove...??
481,1, teri ma chinaal..mc k bachhexfxfxxxfxfxx
483,1, pm follows people who say rape kar denge randi chinaal acha hua marr gayi kutiya the word neech is troublingxexxa
485,1, beej chuss chuss kar nikaal lxexxa 
487,0,aaj mene fir jazbaat bheje..aaj tumne fir alfaz hi samjhe..piyush mishra toh gazab ka talent.. nbaaki rahi baat porxexxa 
489,1, pm follows people who say rape kar denge randi chinaal acha hua marr gayi kutiya the worxexxa 
491,1, mai or meri khubsurat randi ek dusray ko piyaar kartay huwa..sali h chinaal meri lund ki shuhagan jab takxexxa
495,1, taqid mere dost meri randi patni sara ko kuttiya bana ker pheche se chod raha or uskixexxa 
497,1, chinaal how can khichdi be tasty without non veg?
499,1,pm follows people who say rape kar denge randi chinaal acha hua marr gayi kutiya the word neech isxexxa 
501,1, saali lund khao chinaal...hehe
503,1, dekh meri raaand kese kake lund pr uchal rhi h tu bhen ki lodi ghasti chinaal 
505,1, taqid meri randiwife sara ko chod raha tha tabhi uski chinaal patni hamna aagai lekin wo phixexxa
507,1, chinaal tu raandi hai... mein tujhe ruka sakta hu... par tu mujhe nhi..
509,1, chinaal.... where were you when.. senior citizens were killed due to demonetisation?
513,1, pm follows people who say rape kar denge randi chinaal acha hua marxexxa 
519,1, meri randi patni sara porn dekhte huwe mera intezar me thi or meine apne dost taqid ko bhxexxa 
521,1, chinaal ke ruk to jaa.....choot marani ke ......raand ke
523,1, sant rampalji maharaj ke anmool vachan dekiye shadna chinaal par . se
525,1, sant rampalji maharaj ke anmool vachan dekiye shadna chinaal par . se
527,1, raaand saalinchinaal hi h tu bhi
529,1, meri randi patni sara porn dekhte huwe mera intezar me thi or meine apne dost taqid ko bhejaxexxa
531,1, aapne to chinaal ko bhi peeche chorh diya. 
533,1,salgay fans calling her randi chinaal on her wedding day dhobi fans trolling yuvi on his birthday xfxfxxxfxfxxxfxfxx what type of madarchods?
535,1, teri maa saali chinaal hain lund ko aise chodti hain ke pyaar ho jaata hain 
543,1, tere lund k bhuki hai saali chinaal kuttiya. peshaab pine ko tayaar tera
545,1, pm follows people who say rape kar denge randi chinaal acha hua marr gayi kutiya the woxexxa 
547,1, to khaaja bhenchod saali chinaalnaahhhh chussti mast h tuu
549,1, abey lund ke tope chinaal ki aulad teri behn ki chut mai hathi ka luxexxa 
551,1, if you were incapable to maintain the timeyou change the train you chutiyas are making us chutia
553,1, bc.... itna drama public ko chutia banane ke liye hai
555,1, isse air ek baat sabit hota hai ki tumlog pakistan ke saath ho...public ko chutia banana band kar haramkhor
559,1,once a chutes always be chutia.. xfxfxxxfxfxxxfxfxxxfxfxx 
561,1, chutia... xfxfxxxfxfxxxfxfxxxfxfxxxfxfxx
563,1, yeh chutia tha .hai aur rehega
565,1, teri behan di siri angraizon kai kuttai tu terai aaqa aor unki gandi aolad jo saaraxexxa 
567,1, abey chutia auraat mana paisa boht maine rkhta h. kam se kam spirituality ka dhong kar rhi h toh bhaxexxa 
569,1, sambit patra kya aap gobar khake aedhe kya jo aap bata rah hai modi desh k bab hai nchutia sambit patxexxa 
573,0,congresspresidentrahulgandhinhahahah...ny toh wahi hogya jaise hafeez syeed k beta atankwadi hi banega...nwaise gaxexxa 
575,1, madharchod chutiya issh tellychakkar ko unfollow kro yar.... faltu news post krta hai ye chutia
577,1, wait for dec th... pappu tu hi flop ho jayega chutia rahul gandhi ha ha ha
579,1,no matter how good the newpaper talking you will still find a chutia mantri doing chutiyapa 
581,1, ye dangu chahta bhi yahi hai...ki log isko reply kare.. is sale ko sab unfollow kar do..chutia banda
583,1, hina k expressions aise h chutia chup teri aukaat pata h n minutes kaxexxa
585,1, google krka books dhoondho? chutia tu nai hogia? xfxfxx
587,1,tharki budda. tum bhi ik wali rawish py chal rahay ho. mai samjha k tum shyd sirf zuban k he chutia ho lxexxa 
589,1, congrss chutia ke pass iska koi jabab nahi hai inlogo chutiyagiri ke siba aur kuch nahixexxa
591,1,chutia colloquially quoting manish tewari and diggy raja is the only word suitable for this guy. wonder where papxexxa 
593,1,awaam to chutia hi ho gae hai unki shadi ko ly kr
595,1, aur agr chutia ho to modi jaisa..
597,1, vikas is chutia too i know xfxfxxxfxfxx
599,1, chutia log hahahahahaaha
603,1, chutia log pehle sikh le ja k marathi shilpa k piche pad jaate ab maa ko bhi ni chhoda
607,1, chutia ias tha wo
609,1, reech nahi neech hai vo.ndesh ha chutia kaat raah hai jo.
611,1, chutia frog theek rehega
615,1, india deta h leni to usy atii hi nahi nchutia
617,1, chutia.. khud school gya nhi aur baccho ko pda rha hai.. murkh hai ..
619,1, aby ye kon hy chutia
621,1, sambit patra kya aap gobar khake aedhe kya jo aap bata rah hai modi desh k baxexxa 
623,1, vikas is chutia too i know xfxfxxxfxfxx
625,1, chutia he kya ye xfxfxx ldki kch b bol do bs
627,1, who is this chutia??
629,1,chutia spokies pimps worst than pig soch debating on mediadera secret meating by gaddar peem
631,1, is chutia ko kisne banaya hai leader and anchor desh ko lootne wale kxexxa 
633,1, ache din chutia sardar found his tounge... traitors should be shot dead
635,1, chutia of d year award goes to mukul singh
637,1, modi ka dusman pakistan kewal election ke liye hai. public ko chutia banana hai. badd me dost donoxexxa 
639,1, chutia comunist aur srcular logo abhi bhi samajh me nahi ayega
643,1, chutia public to be blamed
645,1, nawaj sarif kay tumahare or modi ke giga lagate hai sadi me chale gaye...chutia .....
649,1, member of chutia brigade forgot sikh massacre of 
651,1, haan sarim chutia ko barbaad kar bas xfxfxx
653,1, xfxfxxxfxfxxxfxfxxxfxfxx chutia spotted ....
655,1, chutia colloquially quoting manish tewari and diggy raja is the only word suitable for this guy. wonder where pappu finds sxexxa
657,0, first congress told no such meeting with pak and china authority but came and later we had a meetixexxa 
659,1, tu to hy e chutia
661,1, congrss chutia ke pass iska koi jabab nahi hai inlogo chutiyagiri ke siba aur kuch nahi aata hai
663,1,how long modisarkar bear chutia bjp yashwantsinha defends mani shankar aiyar calls pakistan conspiracy allegation absurd?
665,1, tax chori kar ke govt ok bahut din chutia banaya. ab raste me aa gaye sab chor log. papu brigade bana rxexxa 
667,1, chutia had not seen empty vote in not feel ashamed f
669,1, apki debates dekhi...apse bada chutia nahi dekha ajtak
673,1, he is both chutia 
677,1, kt gya chutia
679,1,chutia bna gya is qaum ko wo bhi jo is iq k sath 
681,1, sirji...bahut bahut bahut badi chutia picture banai.....kaun tha banaane wala bada waisey
683,1, or sun itna chutia chutia chilla rahe ho sari duniya chut se nixexxa 
689,1, chatur means clever that i am but chutia means stupid that what you all are
691,1, awaam to chutia hi ho gae hai unki shadi ko ly kr
693,1, chup kar chutia
695,1, chutia i asked one question what your mother and shindi was doing in front of iit. is protection used
697,1,kanhaiyakumar agar tu yeh padh raha hai toh sun be chutia tu jaha bol im ready to debate wid u and terese bhi jyaaxexxa 
699,1, are gb road mai pada huye randi ke beto xfxfxxxfxfxxxfxfxxnnghasti ke londo
701,1, hahahahah tere gay tatte di ma nu spider man banke building to latka le lunxexxa 
703,0,omg you have to see this. bigolive 
705,0,omg you have to see this. bigolive 
707,1, tu kia ghasti aurto ki trhn dosrou k tweets py mazy lay rha h lun k sir
709,1, taryi ghasti behen ko chodon sarya padal haj tum ny he kiya houya hyan tarya barya mea log batatya hyaxexxa 
711,1, aajaa bhen ki lodi ghasti raand..teraa muhh chodne me mazza aayga 
713,1, car me masti ban k ghasti. 
715,1,is behan ki lodi ghasti ko kal rs me iske ghar me choda hai sali ko gaand marane ka bahut sauk hai 
717,1, ishatehari now becoming ghasti but not allowed to travel t pakistan
719,1, ghasti ko sikha deti
721,1, abay ghasti ma k lun tawaif k khandan k apni maa ko bhaijday aisa mufta milayga
723,1, abe dheele lund ki paidaishhh....hina hi jitegi teri ghasti shilpa waise hixexxa 
725,1, taryi behen ki phudi kutti ki olad tum behen ky lorya mna ki seat nai ly sakhtya aour ns coror vxexxa 
727,1, dekh bhen ki lodi ghasti raand kese lund pr uchalti h 
729,1, vikas tere bhosde ka ho raha hai ghasti
731,1, too khaajaa ise meri ghasti raand 
733,1, dono maa beti ghasti hain just bc
735,1, aahhh ohhh yeahhh meri ghasti raand 
737,1, dusra da ni pata par teri ghasti maa nu ta kadke lun marnaaa
739,1, oye ghasti ma k lun kisi khusri k bachay when the adalat had iftikhar chaudry u were behind that corruxexxa 
741,1, i just want to say you just one word........................ghasti..
743,0,omg you have to see this. bigolive 
745,1, sali bina bra kay doodh tum dikhati ho duniya ko aur kehri ho kay harras karta hai .... ghasti ko haxexxa 
747,1,+ my imo num kinjri wife r ghasti and randiyo k lye mera lulla avail now on the video call r jo koye apxexxa 
749,1, mast chudakar n ghasti hoti hi tight khpro me chuchi tani hui rakhti 
751,1, boys and girls be aware this bastard.. iski baaton se aisa lag raha ye apni amma ko bhi sasti ghasti bulata haixexxa
753,1, loorrraa bc chor ka bacha ghasti chup kr
755,0,omg you have to see this. bigolive 
757,1, aa gyi sabse badi ghasti raand 
759,0,omg you have to see this. bigolive 
761,1, dekh meri raaand kese kake lund pr uchal rhi h tu bhen ki lodi ghasti chinaal 
763,1, choro ghasti ko
765,1, to uchal na bhen ki lodi ghasti raand mere laude pr
767,1,are bhai bhai bhai.napni ma ko ghasti keh rha haxfxfxxxfxfxxnlmaoxfxfxxxfxfxxxfxfxx 
769,1, are gb road mai pada huye randi ke beto xfxfxxxfxfxxxfxfxxnnghasti ke londo
771,1, ghasti maa ka kanjr beta...
773,1, ye kia ghasti bndi hy.....
779,1, taryi maa ka phuda houa hy ghasti ki olad
781,1, isi liye to tere muhh me fasata hu me meri ghasti raand xfxfxx
783,1, aahhhh chuss le ise meri ghasti betichod ki aulaad 
785,1, ghasti ye jo tumhary nechy garami hai na ye us ka asar hai khan nai danda dia nahi bechara de hi detxexxa 
787,0,omg you have to see this. bigolive 
789,1, fatto gaand k baal ghasti k behnchod
791,0,omg you have to see this. bigolive 
793,1, boys and girls be aware this bastard.. iski baaton se aisa lag raha ye apni amma ko bhi sasti ghasti bulataxexxa
795,1, stop u fucking bitch .. bc jis mulk ka khati o usi ki army pr bhonkti o kuti ghasti oxexxa 
797,1, choos mera lora ghasti kay bachay
799,1, khoti ke bachay lalazar rawalpindi gas nhn hai kisi ghasti ke bachay
801,0, lol the best story sir please provide us the mushroom details i will try to setup a resxexxa 
